Year,NEP,GPP,NPP,RH,estabc,negc_fluxes,firec,area,harvestc,prod_turnoverc,NBP,NBP_nat,transp,evap,interc,wd,discharge,CH4 emiss.,CH4 oxid,CH4 sink,CH4 fire,CH4 rice,CH4 grass,CH4 agr,prec,SoilC,SoilC_slow,LitC,VegC,Soil_CH4,ProductC,nuptake,ndemand,nlosses,ninflux,estabn,negn_fluxes,firen,harvestN,prod_turnovern,SoilN,SoilN_slow,LitN,VegN,SoilNH4,SoilNO3,ProductN,estab_storageC,estab_storageN
(AD),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(m2),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 gC/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 dm3/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 gCH4/yr),(1e+15 dm3/yr),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gC),(1e+15 gCH4),(1e+15 gC),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN/yr),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gN),(1e+15 gC),(1e+15 gN)
1490,-3.75611e-05,0.00570427,0.00248986,0.00252742,3.53366e-05,0,3.77119e-06,1.99347e+09,0.000479144,0,-0.000485139,0.000107404,0.00172144,0.000594894,0.000304885,0,0.00111496,5.27892e-09,3.34757e-07,-2.59463e-07,4.0226e-08,0,1.6045e-09,3.43285e-09,0.00375441,0.0723792,0.032251,0.0103726,0.0241279,8.875e-10,0,3.24868e-05,5.61217e-06,1.06094e-05,3.02364e-06,1.23662e-06,0,5.72049e-09,1.01493e-05,0,0.00363556,0.0016448,3.29482e-05,8.48855e-05,2.79984e-06,2.40889e-05,0,0.0010939,0.00010939
1491,-0.000202583,0.00528133,0.00215542,0.002358,3.53408e-05,0,2.43579e-06,1.99347e+09,0.000408768,0,-0.000578445,-2.68422e-05,0.00147807,0.000476446,0.000268611,0,0.00151576,7.46315e-09,3.66911e-07,-3.13018e-07,2.59817e-08,0,2.16675e-09,4.86647e-09,0.0037437,0.0720244,0.0322417,0.010592,0.0236903,8.85241e-10,0,2.9153e-05,4.52119e-06,1.31802e-05,2.04789e-06,1.23675e-06,0,3.97536e-09,8.68119e-06,0,0.00361833,0.00164439,3.43247e-05,8.24099e-05,3.46914e-06,2.34291e-05,0,0.0010939,0.00010939
1492,-0.000286967,0.00522506,0.00215541,0.00244237,3.53422e-05,0,8.7758e-06,1.99347e+09,0.000431036,0,-0.000691437,-0.000160823,0.00152329,0.000629322,0.000336964,0,0.0020271,3.87662e-09,2.95723e-07,-2.4334e-07,9.36085e-08,0,1.42735e-09,1.85041e-09,0.00476041,0.0717163,0.0322329,0.0108225,0.023082,8.28305e-10,0,3.1178e-05,5.49313e-06,1.89797e-05,2.00164e-06,1.23678e-06,0,1.35195e-08,8.7865e-06,0,0.00360181,0.00164398,3.46813e-05,8.13964e-05,3.18889e-06,1.63947e-05,0,0.0010939,0.00010939
1493,-0.000224628,0.00510694,0.00219823,0.00242286,3.53425e-05,0,2.4554e-05,1.99347e+09,0.00042936,0,-0.000643199,-0.000149325,0.00158011,0.00066741,0.000349532,0,0.00203891,3.19116e-09,2.5737e-07,-1.98e-07,2.6191e-07,0,1.14288e-09,1.26572e-09,0.0044552,0.071364,0.0322244,0.0107595,0.0228596,8.91852e-10,0,3.09757e-05,5.78749e-06,1.24858e-05,2.56288e-06,1.23679e-06,0,3.85997e-08,8.98602e-06,0,0.00358582,0.00164357,3.41142e-05,8.25515e-05,2.06511e-06,1.58639e-05,0,0.0010939,0.00010939
1494,-0.000237998,0.00520955,0.00221679,0.00245479,3.5342e-05,0,3.61086e-05,1.99347e+09,0.000454423,0,-0.000693187,-0.000167865,0.00155704,0.000657605,0.000359699,0,0.0017497,2.87173e-09,2.65332e-07,-2.03253e-07,3.85159e-07,0,1.2058e-09,1.03704e-09,0.00451079,0.0709584,0.0322152,0.0105668,0.0227702,8.90648e-10,0,2.9797e-05,5.58858e-06,7.92613e-06,2.17224e-06,1.23677e-06,0,5.13114e-08,8.84525e-06,0,0.00356894,0.00164314,3.34724e-05,8.11733e-05,2.48275e-06,2.04167e-05,0,0.0010939,0.00010939
1495,-6.12259e-05,0.00516514,0.00228157,0.00234279,3.53427e-05,0,3.69767e-06,1.99347e+09,0.000483301,0,-0.000512881,-4.9203e-05,0.00155869,0.000579691,0.000311154,0,0.00169742,3.42624e-09,3.0701e-07,-2.44875e-07,3.94418e-08,0,1.52357e-09,1.23475e-09,0.00407644,0.0705835,0.0322056,0.0104878,0.0227166,9.02759e-10,0,3.09404e-05,5.47252e-06,1.06206e-05,2.68587e-06,1.23679e-06,0,5.92616e-09,9.92874e-06,0,0.00355206,0.00164269,3.37862e-05,8.06872e-05,2.67381e-06,2.06791e-05,0,0.0010939,0.00010939
1496,-6.2129e-05,0.00509944,0.00222562,0.00228775,3.53428e-05,-2.13656e-23,7.38558e-05,1.99347e+09,0.00042186,0,-0.000522502,-6.48263e-05,0.00154464,0.000570231,0.000345238,0,0.00230734,3.53342e-09,3.00491e-07,-2.42586e-07,7.87795e-07,0,1.60814e-09,1.14206e-09,0.00508987,0.0701968,0.0321957,0.0103247,0.0227493,8.39187e-10,0,2.99091e-05,5.31215e-06,1.5647e-05,2.1502e-06,1.2368e-06,-1.92881e-24,1.07638e-07,8.29373e-06,0,0.00353457,0.00164222,3.37285e-05,8.10954e-05,2.76909e-06,1.70299e-05,0,0.0010939,0.00010939
1497,-0.000210771,0.00523373,0.00215522,0.00236599,3.53425e-05,0,1.02066e-05,1.99347e+09,0.000367585,0,-0.00055322,-9.91614e-05,0.00148665,0.000591185,0.000279977,0,0.00228848,4.47463e-09,3.21568e-07,-2.6273e-07,1.0887e-07,0,1.70712e-09,2.19496e-09,0.00459778,0.0698537,0.0321863,0.0101505,0.022719,8.69473e-10,0,2.90672e-05,5.14355e-06,1.52679e-05,2.02742e-06,1.23679e-06,0,1.53255e-08,7.40359e-06,0,0.00351887,0.00164177,3.28296e-05,8.14193e-05,2.49091e-06,1.4498e-05,0,0.0010939,0.00010939
1498,-0.000219835,0.00488211,0.00204157,0.00226141,3.53438e-05,0,1.05321e-05,1.99347e+09,0.000361412,0,-0.000556436,-0.000113053,0.00141205,0.000573346,0.000326424,0,0.00305141,3.95956e-09,2.98786e-07,-2.39759e-07,1.12343e-07,0,1.5284e-09,1.80114e-09,0.00548821,0.0695684,0.0321769,0.0101807,0.0224231,8.34382e-10,0,2.76816e-05,4.81364e-06,1.76008e-05,1.92108e-06,1.23683e-06,0,1.65844e-08,7.47615e-06,0,0.00350417,0.00164133,3.3121e-05,7.88148e-05,2.68037e-06,8.81806e-06,0,0.0010939,0.00010939
1499,-7.83781e-05,0.0051091,0.00221984,0.00229822,3.53433e-05,0,1.50431e-06,1.99347e+09,0.00039211,0,-0.000436649,-2.42902e-05,0.00147486,0.000581584,0.000310145,0,0.00189813,3.50256e-09,3.13684e-07,-2.43788e-07,1.6046e-08,0,1.40181e-09,1.47969e-09,0.00404666,0.0692152,0.0321669,0.0100272,0.0224986,8.61682e-10,0,3.07701e-05,5.37431e-06,8.46904e-06,2.29601e-06,1.23682e-06,0,2.21264e-09,8.05717e-06,0,0.00348742,0.00164085,3.29603e-05,8.05762e-05,1.98681e-06,1.19996e-05,0,0.0010939,0.00010939
